Organization,Province,Sector,type
UNFPA,Kayanza,Health,UN
UNFPA,Kirundo,Health,UN
UNFPA,Makamba,Health,UN
UNFPA,Muyinga,Health,UN
UNFPA,Ngozi,Health,UN
UNFPA,Ruyigi,Health,UN
UNFPA,Bujumbura Mairie,Protection,UN
UNFPA,Bubanza,Protection,UN
UNFPA,Bujumbura Rural,Protection,UN
UNFPA,Bururi,Protection,UN
UNFPA,Cibitoke,Protection,UN
UNFPA,Gitega,Protection,UN
UNFPA,Kayanza,Protection,UN
UNFPA,Kirundo,Protection,UN
UNFPA,Makamba,Protection,UN
UNFPA,Muyinga,Protection,UN
UNFPA,Ngozi,Protection,UN
UNFPA,Ruyigi,Protection,UN
UNHCR,Bujumbura Mairie,Protection,UN
UNHCR,Bujumbura Mairie,Frontline Services to Refugees,UN
UNHCR,Bujumbura Mairie,Health,UN
UNHCR,Bujumbura Mairie,Education,UN
UNHCR,Bujumbura Mairie,Food security and Livelihood,UN
UNHCR,Cibitoke,Protection,UN
UNHCR,Ruyigi,Protection,UN
UNHCR,Ruyigi,CCCM,UN
UNHCR,Ruyigi,Education,UN
UNHCR,Ruyigi,Food security and Livelihood,UN
UNHCR,Ruyigi,Frontline Services to Refugees,UN
UNHCR,Ruyigi,Health,UN
UNHCR,Ruyigi,Shelter and NFI,UN
UNHCR,Ruyigi,WASH,UN
UNHCR,Bubanza,Protection,UN
UNHCR,Bubanza,Shelter and NFI,UN
UNHCR,Cankuzo,Frontline Services to Refugees,UN
UNHCR,Cankuzo,Health,UN
UNHCR,Cankuzo,Education,UN
UNHCR,Cankuzo,Food security and Livelihood,UN
UNHCR,Cankuzo,Protection,UN
UNHCR,Cankuzo,WASH,UN
UNHCR,Cankuzo,Shelter and NFI,UN
UNHCR,Cibitoke,Frontline Services to Refugees,UN
UNHCR,Cibitoke,Health,UN
UNHCR,Cibitoke,Food security and Livelihood,UN
UNHCR,Cibitoke,WASH,UN
UNHCR,Cibitoke,Shelter and NFI,UN
UNHCR,Muyinga,Frontline Services to Refugees,UN
UNHCR,Muyinga,Health,UN
UNHCR,Muyinga,Education,UN
UNHCR,Muyinga,Food security and Livelihood,UN
UNHCR,Muyinga,Protection,UN
UNHCR,Muyinga,WASH,UN
UNHCR,Muyinga,Shelter and NFI,UN
UNHCR,Ngozi,Frontline Services to Refugees,UN
UNHCR,Ngozi,Health,UN
UNHCR,Ngozi,Education,UN
UNHCR,Ngozi,Food security and Livelihood,UN
UNHCR,Ngozi,Protection,UN
UNHCR,Ngozi,WASH,UN
UNHCR,Ngozi,Shelter and NFI,UN
UNHCR,Rutana,Protection,UN
UNHCR,Rutana,Frontline Services to Refugees,UN
UNHCR,Kayanza,Protection,UN
UNHCR,Kayanza,Shelter and NFI,UN
UNHCR,Kirundo,Protection,UN
UNHCR,Kirundo,Shelter and NFI,UN
UNHCR,Gitega,Protection,UN
UNHCR,Gitega,Shelter and NFI,UN
UNICEF,Bubanza,Education,UN
UNICEF,Bujumbura Rural,Education,UN
UNICEF,Bujumbura Mairie,Education,UN
UNICEF,Bururi,Education,UN
UNICEF,Cankuzo,Education,UN
UNICEF,Cibitoke,Education,UN
UNICEF,Gitega,Education,UN
UNICEF,Karuzi,Education,UN
UNICEF,Kayanza,Education,UN
UNICEF,Kirundo,Education,UN
UNICEF,Makamba,Education,UN
UNICEF,Muramvya,Education,UN
UNICEF,Muyinga,Education,UN
UNICEF,Mwaro,Education,UN
UNICEF,Ngozi,Education,UN
UNICEF,Rutana,Education,UN
UNICEF,Ruyigi,Education,UN
UNICEF,Bubanza,Health,UN
UNICEF,Bujumbura Rural,Health,UN
UNICEF,Bujumbura Mairie,Health,UN
UNICEF,Bururi,Health,UN
UNICEF,Cankuzo,Health,UN
UNICEF,Cibitoke,Health,UN
UNICEF,Gitega,Health,UN
UNICEF,Karuzi,Health,UN
UNICEF,Kayanza,Health,UN
UNICEF,Kirundo,Health,UN
UNICEF,Makamba,Health,UN
UNICEF,Muramvya,Health,UN
UNICEF,Muyinga,Health,UN
UNICEF,Mwaro,Health,UN
UNICEF,Ngozi,Health,UN
UNICEF,Rutana,Health,UN
UNICEF,Ruyigi,Health,UN
UNICEF,Bubanza,Protection,UN
UNICEF,Bujumbura Rural,Protection,UN
UNICEF,Bujumbura Mairie,Protection,UN
UNICEF,Bururi,Protection,UN
UNICEF,Cankuzo,Protection,UN
UNICEF,Cibitoke,Protection,UN
UNICEF,Gitega,Protection,UN
UNICEF,Karuzi,Protection,UN
UNICEF,Kayanza,Protection,UN
UNICEF,Kirundo,Protection,UN
UNICEF,Makamba,Protection,UN
UNICEF,Muramvya,Protection,UN
UNICEF,Muyinga,Protection,UN
UNICEF,Mwaro,Protection,UN
UNICEF,Ngozi,Protection,UN
UNICEF,Rutana,Protection,UN
UNICEF,Ruyigi,Protection,UN
UNICEF,Bubanza,WASH,UN
UNICEF,Bujumbura Rural,WASH,UN
UNICEF,Bujumbura Mairie,WASH,UN
UNICEF,Bururi,WASH,UN
UNICEF,Cankuzo,WASH,UN
UNICEF,Cibitoke,WASH,UN
UNICEF,Gitega,WASH,UN
UNICEF,Karuzi,WASH,UN
UNICEF,Kayanza,WASH,UN
UNICEF,Kirundo,WASH,UN
UNICEF,Makamba,WASH,UN
UNICEF,Muramvya,WASH,UN
UNICEF,Muyinga,WASH,UN
UNICEF,Mwaro,WASH,UN
UNICEF,Ngozi,WASH,UN
UNICEF,Rutana,WASH,UN
UNICEF,Ruyigi,WASH,UN
UNICEF,Bubanza,Nutrition,UN
UNICEF,Bujumbura Rural,Nutrition,UN
UNICEF,Bujumbura Mairie,Nutrition,UN
UNICEF,Bururi,Nutrition,UN
UNICEF,Cankuzo,Nutrition,UN
UNICEF,Cibitoke,Nutrition,UN
UNICEF,Gitega,Nutrition,UN
UNICEF,Karuzi,Nutrition,UN
UNICEF,Kayanza,Nutrition,UN
UNICEF,Kirundo,Nutrition,UN
UNICEF,Makamba,Nutrition,UN
UNICEF,Muramvya,Nutrition,UN
UNICEF,Muyinga,Nutrition,UN
UNICEF,Mwaro,Nutrition,UN
UNICEF,Ngozi,Nutrition,UN
UNICEF,Rutana,Nutrition,UN
UNICEF,Ruyigi,Nutrition,UN
WarChild,Bururi,Protection,Int NGO
WarChild,Bujumbura Rural,Protection,Int NGO
WarChild,Bujumbura Mairie,Protection,Int NGO
WarChild,Cibitoke,Protection,Int NGO
WarChild,Bubanza,Protection,Int NGO
WarChild,Bururi,Education,Int NGO
WarChild,Bujumbura Rural,Education,Int NGO
WarChild,Bujumbura Mairie,Education,Int NGO
WarChild,Cibitoke,Education,Int NGO
WarChild,Bubanza,Education,Int NGO
Welthungerhilfe,Kirundo,WASH,Int NGO
Welthungerhilfe,Kirundo,Food security and Livelihood,Int NGO
Welthungerhilfe,Ngozi,Food security and Livelihood,Int NGO
Welthungerhilfe,Ngozi,Nutrition,Int NGO
Welthungerhilfe,Ngozi,WASH,Int NGO
WFP,Bubanza,Education,UN
WFP,Bubanza,Nutrition,UN
WFP,Bujumbura Rural,Education,UN
WFP,Bujumbura Rural,Nutrition,UN
WFP,Bururi,Education,UN
WFP,Cankuzo,Frontline Services to Refugees,UN
WFP,Cankuzo,Food Security and Livelihood,UN
WFP,Cibitoke,Education,UN
WFP,Karuzi,Nutrition,UN
WFP,Karuzi,Food Security and Livelihood,UN
WFP,Karuzi,Food Security and Livelihood,UN
WFP,Kayanza,Food Security and Livelihood,UN
WFP,Kirundo,Food Security and Livelihood,UN
WFP,Kirundo,Education,UN
WFP,Makamba,Education,UN
WFP,Muramvya,Nutrition,UN
WFP,Gitega,Food Security and Livelihood,UN
WFP,Mwaro,Nutrition,UN
WFP,Rutana,Nutrition,UN
WFP,Rutana,Food Security and Livelihood,UN
WFP,Rutana,Education,UN
WFP,Ruyigi,Education,UN
WFP,Ruyigi,Nutrition,UN
WFP,Ruyigi,Frontline Services to Refugees,UN
WFP,Muyinga,Frontline Services to Refugees,UN
WFP,Muyinga,Education,UN
WFP,Muyinga,Food Security and Livelihood,UN
WFP,Ngozi,Nutrition,UN
WFP,Ngozi,Food Security and Livelihood,UN
WFP,Ngozi,Education,UN
WFP,Ngozi,Frontline Services to Refugees,UN
WFP,Bubanza,Logistics,UN
WFP,Bujumbura Mairie,Logistics,UN
WFP,Bujumbura Rural,Logistics,UN
WFP,Bururi,Logistics,UN
WFP,Cankuzo,Logistics,UN
WFP,Cibitoke,Logistics,UN
WFP,Gitega,Logistics,UN
WFP,Karuzi,Logistics,UN
WFP,Kayanza,Logistics,UN
WFP,Kirundo,Logistics,UN
WFP,Makamba,Logistics,UN
WFP,Muyinga,Logistics,UN
WFP,Muramvya,Logistics,UN
WFP,Mwaro,Logistics,UN
WFP,Ngozi,Logistics,UN
WFP,Rutana,Logistics,UN
WFP,Ruyigi,Logistics,UN
WHO,Bujumbura Mairie,Health,UN
World Vision International Burundi,Rutana,Food security and Livelihood,Int NGO
World Vision International Burundi,Muramvya,Nutrition,Int NGO
World Vision International Burundi,Karuzi,Food security and Livelihood,Int NGO
World Vision International Burundi,Cankuzo,Food security and Livelihood,Int NGO
World Vision International Burundi,Cankuzo ,Nutrition,Int NGO
World Vision International Burundi,Rutana,Nutrition,Int NGO
World Vision International Burundi,Karuzi,Nutrition,Int NGO
World Vision International Burundi,Muyinga,Protection,Int NGO
World Vision International Burundi,Bujumbura rural,Food security and Livelihood,Int NGO
World Vision International Burundi,Gitega,Food security and Livelihood,Int NGO
ZOA,Cibitoke,Food security and Livelihood,Int NGO
ZOA,Cibitoke,WASH,Int NGO
ZOA,Makamba,Food security and Livelihood,Int NGO
