EVENT_DATE,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,ACTOR2,ALLY_ACTOR_2,COUNTRY,ADM_LEVEL_1,ADM_LEVEL_2,SOURCE,NOTES,FATALITIES
7/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Marka,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces based in Gol-Weyn (21km SW of Marka) in the afternoon of 07/01. After a brief exchange of gunfire the al Shabaab fighters withdrew. One SNG soldier was injured in the clash. ,0
7/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Wanla Weyn ,Local Source Project,Three SNG soldiers defected with a vehicle they were driving in to al Shabaab fighters in Murugeey village (8km NW of Wanla Weyn) in the afternoon of 07/01. SNG forces looking after the missing soldiers and their vehicle were ambushed by al Shabaab fighters near Murugeey village. The two sides engaged fighting for about 20 minutes after which SNG forces retreated back towards Wanla Weyn. Three SNG soldiers were killed and five others were injured in the ambush and subsequent fighting while a SNG vehicle was damaged by RPG fired by al Shabaab fighters. ,3
7/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Wanlaweyn,Somali Memo ,"Al Shabaab attacks and kills a senior military officer, six soldiers outside the town of Wanlaweyn, precise location unknown. ",7
8/1/2015,Battle-No change of territory,Military Forces of Ethiopia (1991-),,Al Shabaab,,Somalia,Bakool,Waajid,Radio Andalus ,"Al Shabaab attacks Ethiopian positions in Buur Dhuxunle on the evening of 08/01. ""Heavy [Ethiopian] causalities."" The source is pro-al Shabaab.",10
8/1/2015,Remote violence,Military Forces of Somalia (2012-),,Unidentified Armed Group (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,A RCIED targeted a SNG forces' vehicle in Xamar Bile neighbourhood (Wardhiigley District) in the morning of 08/01.The device reportedly missed the target and detonated after the vehicle passed over. SNG police in the area arrive at the scene but made no arrest. Two civilian bystanders were killed and two others were injured. ,2
8/1/2015,Non-violent activity by a conflict actor,Al Shabaab,,Civilians (Somalia),,Somalia,Bay,Baydhabo,Radio Danan ,Al Shabaab sets fire to a food aid truck on the outskirts of Goof Gaduud. The truck was travelling from Baidoa. ,0
8/1/2015,Non-violent transfer of territory,Military Forces of Ethiopia (1991-),,,,Somalia,Galguduud,Dhuusamareeb,Local Source Project,A contingent of ENDF pulls out from Ceel Garas village (40km SE of Dhusamareeb) to Dhusamareeb in the morning of 08/01. SNG commissioner in the town stated that the forces will be replaced by new contingent. The Ethiopian forces have been in the town from January 2014 and suffered continues hit and run attack from al Shabaab. Al Shabaab fighters are expected to fill the vacuum left by ENDF.,0
8/1/2015,Remote violence,Military Forces of Somalia (2012-),,Unidentified Armed Group (Somalia),,Somalia,Gedo,Beled Hawo,Local Source Project,A RCIED detonated in the outskirts of Khadija Haji village (40km SW of Beled Xaawo) in the afternoon of 08/01.  Reports indicate that the target was reportedly SNG commander who was expected to be travel using that road. The device missed the target and seriously injured five civilians. ,0
8/1/2015,Violence against civilians,Military Forces of Puntland (1998-),,Civilians (Somalia),Government of Puntland (1998-),Somalia,Mudug,Galkacyo,Local Source Project,Two Puntland soldiers who were guarding local government office in Xarfo (70km N of Galkacyo) shot and injured two local government officials (a cashier and his assistant) in the morning of 08/01. The two soldiers also escaped with unspecified amount of money that was in the office savings. The cashier later succumbed to his injuries in Galkacyo hospital. ,1
8/1/2015,Battle-No change of territory,Military Forces of Puntland (1998-),,Unidentified Armed Group (Somalia),,Somalia,Nugaal,Garoowe,Local Source Project,A Puntland soldier guarding Garowe Police Station shot and killed a civilian man in the front gate of the police station in afternoon of 08/01 following an escalated dispute between the soldier and the victim. Reports indicate that the two had exchanged gunfire before the victim was gun down. The soldier was reportedly injured in the shot out and currently under arrest in the hospital while undergoing treatment. ,1
8/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),Private Security Forces (Somalia),Al Shabaab,,Somalia,Shabeellaha Hoose,Marka,Local Source Project,"Al Shabaab fighters attacked a boat inside Indian Ocean near Marka in the night of 08/01. After a brief exchange of gunfire between al Shabaab fighters and the guards on the boat, the al Shabaab over powered the men on the boast. The boat was carrying two seamen, a woman (Khat trader) and a SNG soldier and it was going to Mogadishu after it delivered Khat to Baraawe when the incident happened. Reports indicate that al Shabaab fighters beheaded the SNG soldier and the woman and their bodies were discovered near Gol-Weyn village (21km SW of Marka) on 09/01. The fates of the two seamen are not yet clear. ",2
9/1/2015,Battle-Government regains territory,Military Forces of Ethiopia (1991-),,Al Shabaab,,Somalia,Bakool,Yeed,Local Source Project,Al Shabaab fighters carried out an ambush against ENDF convoy carrying supply in the outskirts of Buur Dhuxunle (27km N of Waajid) in the afternoon of 09/01. Both sides exchanged gunfire before al Shabaab fighters withdrew. ENDF temporarily took-over the village while telecommunication was shut down. No casualties were reported. ,0
9/1/2015,Battle-No change of territory,Military Forces of Ethiopia (1991-),,Al Shabaab,,Somalia,Bakool,Xudur,Local Source Project,"Al Shabaab fighters conducted an ambush against ENDF convoy transporting supply in the outskirts of Waajid in the afternoon of 09/01. The attackers shoot gunfire from a distance against the convoy, while the convoy continues its journey. No casualties were reported.",0
9/1/2015,Violence against civilians,Majeerteen-Ali Jibrail Clan Militia (Somalia),,Civilians (Somalia),Majeerteen-Ali Saleban Clan Group (Somalia),Somalia,Bari,Bosaso,Local Source Project,Gunmen from Majerteen/Ali Jibrail shot and injured two men hailing from Majerteen/Ali Saleeban in the evening of 09/11. The motive is unclear but it is believed to be related to clan revenge between the two sub-clans. The perpetrators escaped. ,0
10/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Military Forces of Somalia (2012-),,Somalia,Banaadir,Mogadisho,Local Source Project,Two groups of NISA engaged an intra-clash after one group assumed the other as hostile near General Kahiye Police Academy (Xamar Jabjab District) in the morning of 10/01. The two groups exchanged gunfire for a few minutes after which the fighting has stopped and each group identified the other. No casualties were reported. ,0
10/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces' base in Heliwa District in the evening of 10/01. The two sides briefly clashed after which the attackers withdrew. No casualties were reported.,0
10/1/2015,Non-violent activity by a conflict actor,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,A RCIED was discovered near Cagadhiig Police station (Wardhiigley District) in the morning of 10/01. The SNG EOD team arrived at the scene and dismantled the device safely. ,0
10/1/2015,Remote violence,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Radio Mustaqbal,"Five people, among them three women, are injured in a mortar attack in the Warta Nabada area. A foreign minister's conference was being held in the area at the time of the explosion, though it is not known if the violence was related. Perpetrators not known. ",0
10/1/2015,Battle-No change of territory,Habar Gedir-Sa'ad Sub-Clan Militia (Somalia),,Habar Gedir-Sa'ad Sub-Clan Militia (Somalia),,Somalia,Galguduud,Cadaado,Local Source Project,Two opposite clan militias hailing from Habar-Gedir/Sacad clashed in Galinsor village (30km NE of Cadaado) in the afternoon of 10/01. The two sides shortly exchanged gunfire after which the situation went back to normal. Reports indicate that one group of the fighting militias was planning to re-enforce clan fighting in Saaxo while the other one was trying to stop the re-enforcement hence fighting erupted. One combatant was killed during the clash. ,1
10/1/2015,Remote violence,Military Forces of Jubaland (2013-),,Unidentified Armed Group (Somalia),,Somalia,Jubbada Hoose,Kismayo,Local Source Project,An IED targeted a Jubaland forces vehicle in Guul Wade section of Farjano neighbourhood (Kismaayo) in the evening of 10/01.There are two conflicting reports indicating that the town was under power shortage either due to breakage of supplying generators or power supplying companies were been ordered by al Shabaab of not to provide power during the night which could facilitate their operation in the dark. Two Jubaland soldiers were killed while a civilian was injured. ,2
10/1/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) ,,Al Shabaab,,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against AMISOM base in Ceelasha (12km SE of Afgooye) in the night of 10/01. No casualties were reported. ,0
10/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Marka,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces based in Gol-Weyn (21km SW of Marka) in the mid-night of 10/01. The two sides exchanged gunfire for about ten minutes after which the attackers withdrew. No casualties were reported.,0
11/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched a hit- and-run attack against SNG forces' position in Gubta neighbourhood (Dayniile District) in the night of 11/01. The two sides exchanged gunfire briefly after which the al Shabaab fighters withdrew. Casualties are unknown.,0
11/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Military Forces of Somalia (2012-),,Somalia,Banaadir,Mogadisho,Local Source Project,Two groups from SNG clashed in the Military Hospital in (Hodan District) in the afternoon of SNAF engaged an intra-clash in the military hospital (Hodan District) in the afternoon of 11/01. Reports indicate that the clash started after one of the group attackers SNG positions around the hospital in the intention of disarming them. Four combatants were killed while five others were injured. ,4
11/1/2015,Battle-No change of territory,Police Forces of Somalia (2012-),,Unidentified Armed Group (Somalia),,Somalia,Bari,Bosaso,Local Source Project,"Unidentified attackers threw a hand grenade against Bosasso Central Police Station in the morning of 11/01. Police in the targeted police station open fire in response, cordon off the area and later conducted a security operation but made no arrest.  A police man and a civilian woman selling Khat nearby were injured in the blast - It was later learned the police officer died. The perpetrators managed to escape. The attack may have had occurred on 12/01. ",1
11/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Jubbada Hoose,Afmadow,Local Source Project,Al Shabaab fighters carried out a hit-and-run attack against SNG forces position in Janaale village (14km NW of Marka) in the night of 11/01. The fighting lasted for a few minutes before the attackers withdrew. No casualties were reported. ,0
11/1/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),Marehan Clan Group (Somalia),Somalia,Jubbada Hoose,Kismayo,Local Source Project,Two dead bodies were found in Kabora east of Wamo Section in Farjano neighbourhood (Kismaayo) in the morning of 11/01. The dead bodies were been discovered as two men hailing from Marehan clan and apparently they were former al Shabaab members who use to be in Kismaayo before Jubaland/AMSIOM were in control of the town. The motive and identity of the killers are unknown as well as the current occupation of the victims. The date(s) of death are not known. ,2
11/1/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) ,,Al Shabaab,,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Al Shabaab fighters launched an attack against AMISOM forces based in Ceel Saliini (Ceel Shiikh) Village (32km SW of Afgooye) in the evening of 11/01. The two sides exchanged gunfire for about 20 minutes. Casualties could not be established. ,0
12/1/2015,Battle-No change of territory,Military Forces of Puntland (1998-),,Al Shabaab,,Somalia,Bari,Bosasso,Local Source Project,Al Shabaab fighters ambush Puntland forces near Jingada village (100km S of Bosasso) on 12/01. No reported causalities. ,0
12/1/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Bay,Baydhabo,Local Source Project,Al Shabaab fighters launched a hit- and-run attack against SNG forces' base in Goof-Gaduud (27km SW of Baidoa) on 12/1. The two sides exchanged small arms fire briefly after which the al Shabaab fighters withdrew. No casualties were reported,0
12/1/2015,Battle-No change of territory,Unidentified Armed Group (Somalia),,Al Shabaab,,Somalia,Jubbada Hoose,Kismayo,Local Source Project,A dead body was found in Daab Yanbo section east of Farjano neighbourhood (Kismaayo) in the morning of 12/1. The date of death not known. Reports indicate that the victim was a member of al Shabaab Amniyat unit assigned for assassination. ,1
12/1/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) ,,Al Shabaab,,Somalia,Shabeellaha Hoose,Barawa,Local Source Project,Well-armed al Shabaab fighters launched three consecutive attacks against AMISOM base in Baraawe in the night of 12/01. Reports indicate that the gunfire was heard up to 03:00 morning. Both sides have reportedly received casualties but exact figures are currently unknown. ,10
13/01/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Suspected al Shabaab fighters attacked NISA forces outpost in former Somali National TV centre in Towfiiq Junction (Yaaqshiid District) in the evening of 13/01. Reports indicate that the two sides reportedly exchange gunfire for about 20 minutes before the attackers withdrew. No casualties were reported. ,0
13/01/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) (Kenya),,Al Shabaab,,Somalia,Gedo,Baardheere,Local Source Project,Al Shabaab fighters launched an attack against KDF(AMISOM)/SNG forces in Taraka (49km W of Baardheere) in the morning of 13/01. The two sides used heavy weapons during the fighting after which the allied forces retreated back to their base in Faafax Dhuun (95km SE of Ceel Waaq). The allied forces come from Faafax Dhuun when the fighting broke out. No casualties were reported. ,0
13/01/2015,Battle-No change of territory,Majeerteen-Osman Mahmud Sub-Clan Militia (Somalia),,Majeerteen-Issa Mahmud Sub-Clan Militia (Somalia),,Somalia,Nugaal,Garoowe,Local Source Project,Gunmen hailing from Majerteen/Usman Mohamud and Majerteen Isse Mohammud clashed in Hanti-Wadaag neighbourhood of Garowe in the morning of 13/01 over an escalated dispute on land ownership. One combatant was reportedly injured in the clash. Police arrested six combatants. ,0
13/01/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces' position in Siinka Dheer (Afgooye District) in the morning of 13/01. Casualties could not be established. ,0
13/01/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),Government of Somalia (2012-),Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Unidentified men armed with pistols shot and killed a tax collector in Dhagahtur neighbourhood (Afgooye) in the morning of 13/01. The motive is unclear. The perpetrators escaped.,1
14/01/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Unidentified Armed Group (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified men armed with pistols shot and killed a SNG soldier in Sei Biano neighbourhood (Hodan District) in the morning of 14/01. The perpetrators escaped. ,1
14/01/2015,Battle-No change of territory,Police Forces of Puntland (1998-),,Unidentified Armed Group (Somalia),,Somalia,Bari,Bosaso,Local Source Project,"Unidentified attackers threw a hand grenade at Puntland police forces manning at a security checkpoint in Afar-Irdood area in New Bosasso neighbourhood (Bosasso) in the night of 14/01. The attackers opened fire after the blast killing one soldier and injuring two others. The forces in the check-point open fire in response to the blast, cordon off the area, conducted a security operation and arrested unspecified number of people. The perpetrators managed to escape. ",0
14/01/2015,Riots/Protests,Protesters (Somalia),,,,Somalia,Galguduud,Caabudwaaq,Local Source Project,"Hundreds of people staged a peaceful demonstration in Balambale in the morning of 14/01 in protest against the planned conference on the formation of Somali central state in Cadaado. The demonstrator called for the organizers to change the venue to Dhusamareeb, where all communities in the region are present. ",0
14/01/2015,Non-violent activity by a conflict actor,Government of Somalia (2012-),,Al Shabaab,,Somalia,Gedo,Luuk,Local Source Project,A local al Shabaab commander (Sheikh Osman Sheikh Mohamed) defected to local authority in Luuq in the morning of 14/01. Reports indicate that the man was al Shabaab commander in Diinsoor and Baidoa area before his surrender. The local authority in Luuq welcomed the defection and urged other al Shabaab fighters who hail from Gedo region to surrender and integrate in to their communities.,0
14/01/2015,Battle-No change of territory,Habar Gedir-Sa'ad Sub-Clan Militia (Somalia),,Habar Gedir-Sa'ad Sub-Clan Militia (Somalia),,Somalia,Mudug,Gaalkacayo,Local Source Project,"A group of militias hailing from Habar-Gedir/Sa'ad sub-clan, who were manning an illegal checkpoint at the outskirt of Galkacyo (South), engaged shoot out with an armed man from the same sub-clan who also set up an illegal check-point in the area in the night of 14/01. Following a shootout between the sides the man was killed while another one from the attacking group was injured. Reports indicate that the armed group was reportedly angered by the man who erected a check-point in their area of control. The perpetrators escaped. ",1
14/01/2015,Battle-No change of territory,Unidentified Armed Group (Somalia),,Unidentified Armed Group (Somalia),,Somalia,Shabeellaha Hoose,Qoryooley,Local Source Project,"Unidentified gunmen ambushed a group of armed militia escorting Khat near Buulo Sheekh (5km SE of Qoryooley) in the afternoon of 14/01. The two sides exchanged gunfire, leading to the death of one person and the injury of another. The vehicle had left Mogadishu and was heading to Qoryooley when the incident happened. Al Shabaab is adverse to the sale and consumption of khat. ",1
14/01/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Military Forces of Somalia (2012-),,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Two groups of SNG soldiers clashed in Mareerey Village (about 7km W of Afgooye) in the morning of 14/01 following a dispute over money extorted from public vehicles. Casualties are unknown. ,0
14/01/2015,Riots/Protests,Rioters (Somalia),,Police Forces of Somaliland (1991-),,Somalia,Woqooyi Galbeed,Berbera,Local Source Project,"Hundreds of Berbera residents staged a violent demonstration on 14/01 against the government, following after a report emerged about privatization of power company to businessmen. The protestors demanded from the government not privatize the power company.  The demonstrators' burnt tyres and destroyed governor's vehicle and some other private cars. Police arrive at the scene and arrested unspecified number of protestors. This is second time Berbera residents are protesting against privatization of power company.    ",0
15/01/2015,Remote violence,Unidentified Armed Group (Somalia),,Civilians (Somalia),Government of Somalia (2012-),Somalia,Banaadir,Mogadisho,Local Source Project,A device believed to be a magnetic IED attached to the vehicle of former deputy District Commissioner of Wardhiigley District exploded in the former 77 military camp neighbourhood (Dayniile District) in the evening of 15/01. The driver was killed in the blast. The perpetrators escaped. ,1
15/01/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Gedo,Garbahaaray,Keydmedia,"Heavy fighting reported between al Shabaab and military forces during the evening hours. Five solders, 10 al Shabaab believed dead, plus injuries. Al Shabaab reports the killings of several SNG officers. ",15
15/01/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),,Somalia,Gedo,Luuq,Local Source Project,Suspected al Shabaab fighters carjacked a private vehicle transporting Khat and abducted its driver in Lagadiimo (30km W of Luuq) in the afternoon of 15/01. The driver and the vehicle were taken to Goiweyn (31km SW of Luuq) where al Shabaab has a small transit camp. The fate of the driver is currently unknown. ,0
15/01/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),,Somalia,Jubbada Hoose,Badhaadhe,Local Source Project,"Al Shabaab fighters kidnapped over 50 charcoal burners from Kidi Faani Village (31km SE of Badhaadhe) in the afternoon of 15/01. In Sadaxlogood Village (40km E of Badhaadhe), 25 charcoal burners went missing and are believed to have been kidnapped by al Shabaab fighters. Five charcoal trucks and three mini-buses are also reportedly missing and believed to have taken by the al Shabaab fighters. Reports indicate these villages are the main charcoal producers in the region. The charcoal is later transported to Buur Gaabo Village (43km SE of Badhadhe) along the coast of the Indian Ocean. ",0
15/01/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),,Somalia,Jubbada Hoose,Badhadhe,Local Source Project,Al Shabaab fighters shot and killed a charcoal truck driver and injured five charcoal burners in Bushbush Village (30km SE of Badhaadhe) in the afternoon of 15/01. The motive of the attack is unclear. The incident happened at a time when al Shabaab fighters were conducting security operations in villages where charcoal is burned for sale. Al Shabaab leaders promised to close all charcoal producing sites in the two Jubas during Friday sermon in Jilib town. ,1
15/01/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),,Somalia,Jubbada Hoose,Badhadhe,Local Source Project,"Al Shabaab fighters kidnapped over 50 charcoal burners from Kidi Faani Village (31km SE of Badhaadhe) in the afternoon of 15/01. In Sadaxlogood Village (40km E of Badhaadhe), 25 charcoal burners went missing and are believed to have been kidnapped by al Shabaab fighters. Five charcoal trucks and three mini-buses are also reportedly missing and believed to have taken by the al Shabaab fighters. Reports indicate these villages are the main charcoal producers in the region. The charcoal is later transported to Buur Gaabo Village (43km SE of Badhadhe) along the coast of the Indian Ocean. ",0
16/01/2015,Battle-No change of territory,Military Forces of Somaliland (1991-),,Unidentified Armed Group (Somalia),,Somalia,Awdal,Boorama,Local Source Project,"Militiamen believed to be loyal to the rebel traditional leader (not identified, possibly Suldan Waber) and Somaliland forces engaged in a brief shoot-out near Quljeed Village (Borama District) on 16/01. No casualties were reported. ",0
16/01/2015,Non-violent transfer of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Bay,Baydhabo,Keydmedia,"Al Shabaab forces take control of three Bay villages (Hagarko, Barbaare - near Qansadheer - and Buulo Barako) following the withdrawal of government forces. ",0
16/01/2015,Non-violent transfer of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Bay,Goofgaduud ,Keydmedia,"Al Shabaab forces take control of three Bay villages (Hagarko, Barbaare - near Qansadheer - and Buulo Barako) following the withdrawal of government forces. ",0
16/01/2015,Non-violent transfer of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Bay,Qansax Dheere,Keydmedia,"Al Shabaab forces take control of three Bay villages (Hagarko, Barbaare - near Qansadheer - and Buulo Barako) following the withdrawal of government forces. ",0
16/01/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Gedo,Garbahaaray,Local Source Project,SNG forces and al Shabaab fighters clashed in the outskirts of Buurdhuubo Village (34km SE of Garbarhaarey) on the 16/01. The two sides exchanged heavy gun-fire. Both side suffered unknown number of casualties. ,10
16/01/2015,Non-violent activity by a conflict actor,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Mudug,Gaalkacayo,Local Source Project,"Unidentified attackers hurled two hand grenades at Radio Galkacyo Station in Israac neighbourhood (Galkacyo North) in the evening of 16/01. No casualties were reported. The perpetrators escaped. This is the second attack targeted at the radio station within two weeks. On the eve of the New Year, two hand grenades were hurled at the same station. ",0
16/01/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Shabeellaha Hoose,Barawa,Local Source Project,"Unidentified gunmen shot and killed man in Baraawe in the night of 16/01. The motive behind the killing is currently unknown. SNG forces responded and rushed to the scene, and arrested unconfirmed number of suspects. However, reports indicate that the perpetrators escaped. ",1
16/01/2015,Riots/Protests,Protesters (Somalia),,Police Forces of Somaliland (1991-),,Somalia,Woqooyi Galbeed,Hargeysa,Local Source Project,"Local residents staged a demonstration against the president of Somaliland, Ahmed Mohamed Silanyo, in Fara Weyne Village in the morning of 16/01. The locals were reportedly complaining against lack of development in the village. Police arrested a number of protestors. ",0
17/01/2015,Riots/Protests,Protesters (Somalia),,,,Somalia,Banaadir,Mogadisho,Local Source Project,Hundreds of university students in Mogadishu held a demonstration near Hawl-Wadaag Junction (Hawl-Wadaag District) on 17/01 in protest against the French Charlie Hebdo Magazine. The demonstrators were chanting 'I am a Muslim' in French. Some Islamic scholars who addressed the demonstrators urged them to spread Islam and warned Western countries against hurting the feelings of Muslims. ,0
17/01/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),,Somalia,Jubbada Hoose,Kismaayo,Local Source Project,Al Shabaab fighters injured a driver and five charcoal workers in Beerhani Village (40k SW of Kismaayo) in the morning of 17/01. The injured five were taken to a hospital in Kismaayo. ,0
17/01/2015,Riots/Protests,Rioters (Somalia),Habar Jeclo-Aduruxmiin Sub-Clan Group (Somalia),Rioters (Somalia),Habar Yoonis-Abdala Hamud Sub-Clan Group (Somalia),Somalia,Sanaag,Ceerigaabo,Local Source Project,Scuffles broke out between two groups hailing from Habar Jeclo/Aduruxmiin and Habar Yonis/Abdalla Hamud in front Sanaag regional office in Ceerigaabo on 17/01. The scuffle broke out as they waited the governor to address on a piece of land which both sides were claiming its ownership. One prominent elder from Habar Jeclo/Aduruhmiin was injured. Police dispersed the two groups. ,0
17/01/2015,Battle-No change of territory,Police Forces of Puntland (1998-),,Police Forces of Somaliland (1991-),,Somalia,Togdheer,Buuhoodle,Local Source Project,The security details of Puntland vice president and those of Somaliland ministerial delegation engaged in a shoot-out Buuhoodle on 17/11. The shooting broke out after the two delegations both claimed that the town was part of their administrations in a speech at the inauguration ceremony of a new sultan.  Local elders managed to stop the brief shoot-out. No casualties were reported. ,0
18/01/2015,Battle-No change of territory,Police Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched an attack against Wardhiigley Police Station (Wardhiigley District) in the evening of 18/01. Both sides exchanged gunfire for about a few minutes after which the attackers withdrew. Casualties could not be established.,0
18/01/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,A tri-cycle motorbike locally known as Bajaaj exploded near Moallin Nur neighbourhood (Dharkenley District) in the afternoon of 18/01. Two people and the driver were onboard the motorbike when the incident happened. It is unclear whether the explosion was a landmine or the people in the motorbike were suicide bombers. Dharkenley District authorities stated that the victims were carrying explosives to unknown targets. ,0
18/01/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) (Ethiopia),,Al Shabaab,,Somalia,Bay,Buur Xakaba,Local Source Project,"Al Shabaab fighters ambushed AMISOM (ENDF) convoy on its way from Buur Hakaba to Baidoa in Ugaari Village (11k NW of Buur Hakaba) in the afternoon of 18/01. After a brief exchange of gunfire, the al Shabaab fighters withdrew. Three ENDF soldiers were injured during the attack.  The Hormuud telecommunication network was switched from Baidoa immediately after the start of the attack and was only restored after the convoy had reached Baidoa.",0
18/01/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Bay,Baydhabo,Local Source Project,"A moderate, vocal al-Shabaab cleric was shot and killed by unidentified gunmen in Berdaale neighbourhood in Baidoa shortly after the dusk prayer on 18/01. The motive is unknown and the perpetrators escaped. Following the attack security forces conducted an operation and arrest 150 possible suspects. ",1
18/01/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),,Somalia,Bay,Baidoa,Local Source Project,Suspected al Shabaab fighters abducted a civilian man in Goorisine village (32km SW of Baidoa) in the evening of 18/01. The man was traveling to Baidoa with a motorbike when the incident happened. The reason behind his abduction is currently unknown. The man was a Khat dealer and used to run a football club in Qansax-Dheere District. Reports indicate that he was taken to Xawalbarbaar village (15km NE of Diinsoor).,0
18/01/2015,Violence against civilians,Habar Gedir-Sa'ad Sub-Clan Militia (Somalia),,Civilians (Somalia),Habar Gedir-Sa'ad Sub-Clan Group (Somalia),Somalia,Mudug,Galkacyo,Local Source Project,A gunman hailing from Habar Gidir/Sa'ad shot and killed his clansman in Buurcad area (15km SE of Galkacyo) in the morning of 18/01. The motive was apparently a clan revenge following a previous killing. Galmudug police with the support of the local clan elders managed to arrest the perpetrator. ,1
18/01/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) ,,Al Shabaab,,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Al Shabaab fighters launched an attack against AMISOM base in Arbacoow neighbourhood in Ceelasha Settlement (12km SE of Afgooye) in the morning of 18/01. The sounds of heavy gunfire including anti-aircraft fire could be heard from the area around the time of dawn prayer. Casualties could not be established.  ,0
18/01/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Al Shabaab fighters attacked SNG forces base in Lafoole settlement (6km SE of Afgooye) in the evening of 18/01. Both sides exchanged gunfire for about 15 minutes after which al Shabaab fighters withdrew. Casualties are unknown. ,0
18/01/2015,Violence against civilians,Civilians (Somalia),Military Forces of Somalia (2012-),Al Shabaab,,Somalia,Shabeellaha Hoose,Marka,Local Source Project,An al Shabaab website reported that a SNG soldier was executed after an al Shabaab court in Lower Shabelle region sentenced him to death penalty. The website did not publish the exact location where the execution happened. The judge stated that the executed man was one of the SNG custodial corps whose age was 64 years. ,1
